model,folder,instance_id,k,reached,resolved,n_assistant_prefix,n_calls_prefix,n_repo_edits_prefix,n_edit_files_prefix,edit_churn_prefix,call_unique_ratio_prefix,n_read_prefix,n_edit_prefix,n_search_prefix,n_test_prefix,n_git_prefix,n_install_prefix,n_other_prefix
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,75,0,False,38,42,0,0,0.0,0.9761904761904762,2,3,1,30,2,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,5,1,False,5,12,0,0,0.0,1.0,0,0,2,10,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,10,1,False,10,20,1,1,0.0,1.0,0,1,2,17,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,20,1,False,20,32,3,2,0.3333333333333333,0.96875,0,3,4,23,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,30,1,False,30,45,3,2,0.3333333333333333,0.9555555555555556,1,3,6,28,0,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,50,1,False,50,69,6,5,0.16666666666666666,0.927536231884058,1,6,6,45,0,11,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,75,0,False,58,77,6,5,0.16666666666666666,0.935064935064935,3,8,6,46,1,11,2
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,5,1,True,5,9,0,0,0.0,1.0,0,0,2,7,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,10,1,True,10,16,0,0,0.0,1.0,0,1,2,12,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,20,1,True,20,27,0,0,0.0,1.0,0,1,5,17,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,30,1,True,30,40,0,0,0.0,0.95,0,2,5,27,0,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,50,0,True,48,58,0,0,0.0,0.9482758620689655,2,7,5,35,1,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,75,0,True,48,58,0,0,0.0,0.9482758620689655,2,7,5,35,1,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,5,1,True,5,7,1,1,0.0,1.0,0,1,1,4,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,10,1,True,10,12,1,1,0.0,1.0,0,1,1,5,0,5,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,20,1,True,20,22,3,1,0.6666666666666666,0.9545454545454546,0,3,1,11,0,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,30,1,True,30,32,7,4,0.42857142857142855,0.9375,0,7,1,16,0,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,50,0,True,39,41,9,6,0.3333333333333333,0.9512195121951219,2,10,1,19,0,9,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,75,0,True,39,41,9,6,0.3333333333333333,0.9512195121951219,2,10,1,19,0,9,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,5,1,True,5,9,0,0,0.0,1.0,0,0,1,8,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,10,1,True,10,14,1,1,0.0,1.0,0,1,1,10,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,20,1,True,20,26,2,2,0.0,1.0,1,2,2,17,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,30,1,True,30,36,2,2,0.0,1.0,1,3,2,23,1,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,50,0,True,41,47,3,3,0.0,0.9574468085106383,3,5,3,26,2,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,75,0,True,41,47,3,3,0.0,0.9574468085106383,3,5,3,26,2,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,5,1,True,5,6,0,0,0.0,1.0,0,0,1,5,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,10,1,True,10,11,1,1,0.0,1.0,0,1,1,6,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,20,1,True,20,21,2,2,0.0,1.0,0,3,1,11,1,5,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,30,0,True,29,30,2,2,0.0,0.9666666666666667,2,7,1,12,2,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,50,0,True,29,30,2,2,0.0,0.9666666666666667,2,7,1,12,2,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,75,0,True,29,30,2,2,0.0,0.9666666666666667,2,7,1,12,2,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,5,1,True,5,8,0,0,0.0,1.0,0,0,1,7,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,10,1,True,10,13,0,0,0.0,0.9230769230769231,0,2,1,8,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,20,1,True,20,24,0,0,0.0,0.9166666666666666,0,4,1,13,0,5,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,30,1,True,30,35,1,1,0.0,0.8285714285714286,0,8,1,15,0,10,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,50,0,True,47,53,1,1,0.0,0.8490566037735849,2,14,1,18,4,13,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,75,0,True,47,53,1,1,0.0,0.8490566037735849,2,14,1,18,4,13,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,5,1,True,5,6,0,0,0.0,0.8333333333333334,0,0,0,4,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,10,1,True,10,12,0,0,0.0,0.9166666666666666,0,0,0,5,4,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,20,1,True,20,23,0,0,0.0,0.9130434782608695,0,1,0,12,6,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,30,0,True,26,30,0,0,0.0,0.9333333333333333,2,3,0,13,8,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,50,0,True,26,30,0,0,0.0,0.9333333333333333,2,3,0,13,8,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,75,0,True,26,30,0,0,0.0,0.9333333333333333,2,3,0,13,8,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,5,1,False,5,7,1,1,0.0,1.0,0,1,1,4,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,10,1,False,10,12,2,2,0.0,1.0,0,2,1,8,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,20,1,False,20,23,2,2,0.0,1.0,0,3,1,16,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,30,0,False,22,25,2,2,0.0,1.0,2,3,1,16,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,50,0,False,22,25,2,2,0.0,1.0,2,3,1,16,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,75,0,False,22,25,2,2,0.0,1.0,2,3,1,16,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,5,1,False,5,8,0,0,0.0,1.0,0,0,1,7,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,10,1,False,10,13,0,0,0.0,0.9230769230769231,0,0,1,9,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,20,1,False,20,24,0,0,0.0,0.9166666666666666,0,2,1,17,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,30,1,False,30,34,0,0,0.0,0.9117647058823529,0,2,1,25,0,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,50,0,False,37,41,0,0,0.0,0.926829268292683,2,4,1,28,0,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,75,0,False,37,41,0,0,0.0,0.926829268292683,2,4,1,28,0,6,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,5,1,True,5,9,0,0,0.0,1.0,0,0,1,7,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,10,1,True,10,14,0,0,0.0,1.0,0,0,1,11,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,20,1,True,20,25,3,2,0.3333333333333333,1.0,0,5,1,16,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,30,1,True,30,36,3,2,0.3333333333333333,0.9722222222222222,0,5,2,22,0,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,50,0,True,42,48,3,2,0.3333333333333333,0.9791666666666666,2,6,2,29,2,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,75,0,True,42,48,3,2,0.3333333333333333,0.9791666666666666,2,6,2,29,2,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,5,1,True,5,9,0,0,0.0,1.0,0,0,1,6,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,10,1,True,10,14,0,0,0.0,0.9285714285714286,0,0,1,9,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,20,1,True,20,27,1,1,0.0,0.9259259259259259,2,2,1,15,0,6,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,30,0,True,20,27,1,1,0.0,0.9259259259259259,2,2,1,15,0,6,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,50,0,True,20,27,1,1,0.0,0.9259259259259259,2,2,1,15,0,6,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,75,0,True,20,27,1,1,0.0,0.9259259259259259,2,2,1,15,0,6,1
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,5,1,False,5,8,0,0,0.0,1.0,0,0,2,6,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,10,1,False,10,13,0,0,0.0,0.9230769230769231,0,0,2,9,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,20,1,False,20,23,1,1,0.0,0.8695652173913043,0,2,2,15,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,30,1,False,30,33,1,1,0.0,0.9090909090909091,0,2,2,25,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,50,1,False,50,54,4,3,0.25,0.9259259259259259,0,6,2,42,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,75,0,False,63,67,4,3,0.25,0.9402985074626866,2,7,2,49,3,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,5,1,True,5,8,1,1,0.0,1.0,0,1,3,4,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,10,1,True,10,13,2,2,0.0,1.0,0,2,3,6,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,20,1,True,20,23,4,4,0.0,1.0,0,4,3,12,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,30,1,True,30,33,4,4,0.0,1.0,0,4,3,13,9,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,50,0,True,35,38,5,5,0.0,1.0,2,6,3,14,9,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,75,0,True,35,38,5,5,0.0,1.0,2,6,3,14,9,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,5,1,True,5,7,1,1,0.0,1.0,0,1,1,5,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,10,1,True,10,12,4,3,0.25,1.0,0,4,1,6,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,20,1,True,20,22,7,5,0.2857142857142857,1.0,0,7,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,30,0,True,23,25,7,5,0.2857142857142857,1.0,2,8,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,50,0,True,23,25,7,5,0.2857142857142857,1.0,2,8,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,75,0,True,23,25,7,5,0.2857142857142857,1.0,2,8,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,5,1,True,5,6,1,1,0.0,1.0,0,1,1,3,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,10,1,True,10,11,2,2,0.0,1.0,0,2,1,5,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,20,1,True,20,21,2,2,0.0,1.0,2,3,1,10,1,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,30,0,True,20,21,2,2,0.0,1.0,2,3,1,10,1,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,50,0,True,20,21,2,2,0.0,1.0,2,3,1,10,1,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,75,0,True,20,21,2,2,0.0,1.0,2,3,1,10,1,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,5,1,False,5,7,0,0,0.0,1.0,0,0,1,6,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,10,1,False,10,13,0,0,0.0,1.0,0,0,1,10,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,20,1,False,20,24,1,1,0.0,1.0,2,2,1,15,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,30,0,False,20,24,1,1,0.0,1.0,2,2,1,15,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,50,0,False,20,24,1,1,0.0,1.0,2,2,1,15,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,75,0,False,20,24,1,1,0.0,1.0,2,2,1,15,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,5,1,True,5,7,2,1,0.5,1.0,0,2,1,4,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,10,1,True,10,12,4,1,0.75,0.9166666666666666,0,4,1,6,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,20,1,True,20,24,9,2,0.7777777777777778,0.9166666666666666,0,9,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,30,0,True,23,27,9,2,0.7777777777777778,0.9259259259259259,2,10,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,50,0,True,23,27,9,2,0.7777777777777778,0.9259259259259259,2,10,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,75,0,True,23,27,9,2,0.7777777777777778,0.9259259259259259,2,10,1,12,1,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,5,1,False,5,10,0,0,0.0,1.0,0,0,1,9,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,10,1,False,10,15,0,0,0.0,1.0,0,0,1,13,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,20,1,False,20,28,0,0,0.0,0.9642857142857143,0,0,4,20,0,4,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,30,1,False,30,43,0,0,0.0,0.9767441860465116,0,2,4,30,0,7,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,50,0,False,35,48,0,0,0.0,0.9791666666666666,2,3,4,31,0,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,75,0,False,35,48,0,0,0.0,0.9791666666666666,2,3,4,31,0,8,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,5,1,False,5,8,0,0,0.0,1.0,0,0,2,6,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,10,1,False,10,14,0,0,0.0,1.0,0,0,2,9,0,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,20,1,False,20,26,2,2,0.0,0.9230769230769231,0,3,2,17,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,30,0,False,22,28,2,2,0.0,0.9285714285714286,2,3,2,17,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,50,0,False,22,28,2,2,0.0,0.9285714285714286,2,3,2,17,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,75,0,False,22,28,2,2,0.0,0.9285714285714286,2,3,2,17,1,3,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,5,1,False,5,7,0,0,0.0,1.0,2,0,1,4,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,10,1,False,10,12,1,1,0.0,1.0,2,1,1,8,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,20,1,False,20,22,1,1,0.0,1.0,4,2,1,13,2,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,30,0,False,20,22,1,1,0.0,1.0,4,2,1,13,2,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,50,0,False,20,22,1,1,0.0,1.0,4,2,1,13,2,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,75,0,False,20,22,1,1,0.0,1.0,4,2,1,13,2,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,5,1,False,5,9,0,0,0.0,1.0,0,0,3,6,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,10,1,False,10,18,0,0,0.0,1.0,0,0,3,15,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,20,1,False,20,30,1,1,0.0,1.0,0,1,3,24,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,30,1,False,30,43,1,1,0.0,1.0,0,1,3,37,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,50,1,False,50,66,3,3,0.0,0.9696969696969697,0,3,5,56,0,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,75,1,False,75,98,8,8,0.0,0.9693877551020408,0,8,7,77,4,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,5,1,True,5,6,1,1,0.0,1.0,0,1,1,3,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,10,1,True,10,11,3,3,0.0,0.9090909090909091,0,3,1,4,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,20,0,True,17,18,3,3,0.0,0.9444444444444444,2,4,1,8,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,30,0,True,17,18,3,3,0.0,0.9444444444444444,2,4,1,8,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,50,0,True,17,18,3,3,0.0,0.9444444444444444,2,4,1,8,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,75,0,True,17,18,3,3,0.0,0.9444444444444444,2,4,1,8,1,2,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10914,5,1,True,5,8,0,0,0.0,1.0,0,0,1,7,0,0,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10914,10,1,True,10,13,3,3,0.0,0.9230769230769231,0,3,1,8,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10914,20,0,True,14,17,3,3,0.0,0.9411764705882353,2,4,1,9,0,1,0
Claude 4.5 Opus high,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10914,30,0,True,14,17,3,3,0.0,0.9411764705882353,2,4,1,9,0,1,0
